年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,衣,博士,0,0
201401,09007000,衣,碩士,0,0
201401,09007000,衣,大學,0,0
201401,09007000,衣,專科,0,0
201401,09007000,衣,高中高職,0,0
201401,09007000,衣,其他,0,0
201402,09007000,衣,博士,0,0
201402,09007000,衣,碩士,0,0
201402,09007000,衣,大學,0,0
201402,09007000,衣,專科,0,0
201402,09007000,衣,高中高職,0,0
201402,09007000,衣,其他,0,0
201403,09007000,衣,博士,0,0
201403,09007000,衣,碩士,0,0
201403,09007000,衣,大學,0,0
201403,09007000,衣,專科,0,0
201403,09007000,衣,高中高職,0,0
201403,09007000,衣,其他,0,0
201404,09007000,衣,博士,0,0
201404,09007000,衣,碩士,0,0
201404,09007000,衣,大學,0,0
201404,09007000,衣,專科,0,0
201404,09007000,衣,高中高職,0,0
201404,09007000,衣,其他,0,0
201405,09007000,衣,博士,0,0
201405,09007000,衣,碩士,0,0
201405,09007000,衣,大學,0,0
201405,09007000,衣,專科,0,0
201405,09007000,衣,高中高職,0,0
201405,09007000,衣,其他,0,0
201406,09007000,衣,博士,0,0
201406,09007000,衣,碩士,0,0
201406,09007000,衣,大學,0,0
201406,09007000,衣,專科,0,0
201406,09007000,衣,高中高職,0,0
201406,09007000,衣,其他,0,0
201407,09007000,衣,博士,0,0
201407,09007000,衣,碩士,0,0
201407,09007000,衣,大學,0,0
201407,09007000,衣,專科,0,0
201407,09007000,衣,高中高職,0,0
201407,09007000,衣,其他,0,0
201408,09007000,衣,博士,0,0
201408,09007000,衣,碩士,0,0
201408,09007000,衣,大學,0,0
201408,09007000,衣,專科,0,0
201408,09007000,衣,高中高職,0,0
201408,09007000,衣,其他,0,0
201409,09007000,衣,博士,0,0
201409,09007000,衣,碩士,0,0
201409,09007000,衣,大學,0,0
201409,09007000,衣,專科,0,0
201409,09007000,衣,高中高職,0,0
201409,09007000,衣,其他,0,0
201410,09007000,衣,博士,0,0
201410,09007000,衣,碩士,0,0
201410,09007000,衣,大學,0,0
201410,09007000,衣,專科,0,0
201410,09007000,衣,高中高職,0,0
201410,09007000,衣,其他,0,0
201411,09007000,衣,博士,0,0
201411,09007000,衣,碩士,0,0
201411,09007000,衣,大學,0,0
201411,09007000,衣,專科,0,0
201411,09007000,衣,高中高職,0,0
201411,09007000,衣,其他,0,0
201412,09007000,衣,博士,0,0
201412,09007000,衣,碩士,0,0
201412,09007000,衣,大學,0,0
201412,09007000,衣,專科,0,0
201412,09007000,衣,高中高職,0,0
201412,09007000,衣,其他,0,0
201501,09007000,衣,博士,0,0
201501,09007000,衣,碩士,0,0
201501,09007000,衣,大學,0,0
201501,09007000,衣,專科,0,0
201501,09007000,衣,高中高職,0,0
201501,09007000,衣,其他,0,0
201502,09007000,衣,博士,0,0
201502,09007000,衣,碩士,0,0
201502,09007000,衣,大學,0,0
201502,09007000,衣,專科,0,0
201502,09007000,衣,高中高職,0,0
201502,09007000,衣,其他,0,0
201503,09007000,衣,博士,0,0
201503,09007000,衣,碩士,0,0
201503,09007000,衣,大學,0,0
201503,09007000,衣,專科,0,0
201503,09007000,衣,高中高職,0,0
201503,09007000,衣,其他,0,0
201504,09007000,衣,博士,0,0
201504,09007000,衣,碩士,0,0
201504,09007000,衣,大學,0,0
201504,09007000,衣,專科,0,0
201504,09007000,衣,高中高職,0,0
201504,09007000,衣,其他,0,0
201505,09007000,衣,博士,0,0
201505,09007000,衣,碩士,0,0
201505,09007000,衣,大學,0,0
201505,09007000,衣,專科,0,0
201505,09007000,衣,高中高職,0,0
201505,09007000,衣,其他,0,0
201506,09007000,衣,博士,0,0
201506,09007000,衣,碩士,0,0
201506,09007000,衣,大學,0,0
201506,09007000,衣,專科,0,0
201506,09007000,衣,高中高職,0,0
201506,09007000,衣,其他,0,0
201507,09007000,衣,博士,0,0
201507,09007000,衣,碩士,0,0
201507,09007000,衣,大學,0,0
201507,09007000,衣,專科,0,0
201507,09007000,衣,高中高職,0,0
201507,09007000,衣,其他,0,0
201508,09007000,衣,博士,0,0
201508,09007000,衣,碩士,0,0
201508,09007000,衣,大學,0,0
201508,09007000,衣,專科,0,0
201508,09007000,衣,高中高職,0,0
201508,09007000,衣,其他,0,0
201509,09007000,衣,博士,0,0
201509,09007000,衣,碩士,0,0
201509,09007000,衣,大學,0,0
201509,09007000,衣,專科,0,0
201509,09007000,衣,高中高職,0,0
201509,09007000,衣,其他,0,0
201510,09007000,衣,博士,0,0
201510,09007000,衣,碩士,0,0
201510,09007000,衣,大學,0,0
201510,09007000,衣,專科,0,0
201510,09007000,衣,高中高職,0,0
201510,09007000,衣,其他,0,0
201511,09007000,衣,博士,0,0
201511,09007000,衣,碩士,0,0
201511,09007000,衣,大學,0,0
201511,09007000,衣,專科,0,0
201511,09007000,衣,高中高職,0,0
201511,09007000,衣,其他,0,0
201512,09007000,衣,博士,0,0
201512,09007000,衣,碩士,0,0
201512,09007000,衣,大學,0,0
201512,09007000,衣,專科,0,0
201512,09007000,衣,高中高職,0,0
201512,09007000,衣,其他,0,0
201601,09007000,衣,博士,0,0
201601,09007000,衣,碩士,0,0
201601,09007000,衣,大學,0,0
201601,09007000,衣,專科,0,0
201601,09007000,衣,高中高職,0,0
201601,09007000,衣,其他,0,0
201602,09007000,衣,博士,0,0
201602,09007000,衣,碩士,0,0
201602,09007000,衣,大學,0,0
201602,09007000,衣,專科,0,0
201602,09007000,衣,高中高職,0,0
201602,09007000,衣,其他,0,0
201603,09007000,衣,博士,0,0
201603,09007000,衣,碩士,0,0
201603,09007000,衣,大學,0,0
201603,09007000,衣,專科,0,0
201603,09007000,衣,高中高職,0,0
201603,09007000,衣,其他,0,0
201604,09007000,衣,博士,0,0
201604,09007000,衣,碩士,0,0
201604,09007000,衣,大學,0,0
201604,09007000,衣,專科,0,0
201604,09007000,衣,高中高職,0,0
201604,09007000,衣,其他,0,0
201605,09007000,衣,博士,0,0
201605,09007000,衣,碩士,0,0
201605,09007000,衣,大學,0,0
201605,09007000,衣,專科,0,0
201605,09007000,衣,高中高職,0,0
201605,09007000,衣,其他,0,0
201606,09007000,衣,博士,0,0
201606,09007000,衣,碩士,0,0
201606,09007000,衣,大學,0,0
201606,09007000,衣,專科,0,0
201606,09007000,衣,高中高職,0,0
201606,09007000,衣,其他,0,0
201607,09007000,衣,博士,0,0
201607,09007000,衣,碩士,0,0
201607,09007000,衣,大學,0,0
201607,09007000,衣,專科,0,0
201607,09007000,衣,高中高職,0,0
201607,09007000,衣,其他,0,0
201608,09007000,衣,博士,0,0
201608,09007000,衣,碩士,0,0
201608,09007000,衣,大學,0,0
201608,09007000,衣,專科,0,0
201608,09007000,衣,高中高職,0,0
201608,09007000,衣,其他,0,0
201609,09007000,衣,博士,0,0
201609,09007000,衣,碩士,0,0
201609,09007000,衣,大學,0,0
201609,09007000,衣,專科,0,0
201609,09007000,衣,高中高職,0,0
201609,09007000,衣,其他,0,0
201610,09007000,衣,博士,0,0
201610,09007000,衣,碩士,0,0
201610,09007000,衣,大學,0,0
201610,09007000,衣,專科,0,0
201610,09007000,衣,高中高職,0,0
201610,09007000,衣,其他,0,0
201611,09007000,衣,博士,0,0
201611,09007000,衣,碩士,0,0
201611,09007000,衣,大學,0,0
201611,09007000,衣,專科,0,0
201611,09007000,衣,高中高職,0,0
201611,09007000,衣,其他,0,0
201612,09007000,衣,博士,0,0
201612,09007000,衣,碩士,0,0
201612,09007000,衣,大學,0,0
201612,09007000,衣,專科,0,0
201612,09007000,衣,高中高職,0,0
201612,09007000,衣,其他,0,0
201701,09007000,衣,博士,0,0
201701,09007000,衣,碩士,0,0
201701,09007000,衣,大學,0,0
201701,09007000,衣,專科,0,0
201701,09007000,衣,高中高職,0,0
201701,09007000,衣,其他,0,0
201702,09007000,衣,博士,0,0
201702,09007000,衣,碩士,0,0
201702,09007000,衣,大學,0,0
201702,09007000,衣,專科,0,0
201702,09007000,衣,高中高職,0,0
201702,09007000,衣,其他,0,0
201703,09007000,衣,博士,0,0
201703,09007000,衣,碩士,0,0
201703,09007000,衣,大學,0,0
201703,09007000,衣,專科,0,0
201703,09007000,衣,高中高職,0,0
201703,09007000,衣,其他,0,0
201704,09007000,衣,博士,0,0
201704,09007000,衣,碩士,0,0
201704,09007000,衣,大學,0,0
201704,09007000,衣,專科,0,0
201704,09007000,衣,高中高職,0,0
201704,09007000,衣,其他,0,0
201705,09007000,衣,博士,0,0
201705,09007000,衣,碩士,0,0
201705,09007000,衣,大學,0,0
201705,09007000,衣,專科,0,0
201705,09007000,衣,高中高職,0,0
201705,09007000,衣,其他,0,0
201706,09007000,衣,博士,0,0
201706,09007000,衣,碩士,0,0
201706,09007000,衣,大學,0,0
201706,09007000,衣,專科,0,0
201706,09007000,衣,高中高職,0,0
201706,09007000,衣,其他,0,0
201707,09007000,衣,博士,0,0
201707,09007000,衣,碩士,0,0
201707,09007000,衣,大學,0,0
201707,09007000,衣,專科,0,0
201707,09007000,衣,高中高職,0,0
201707,09007000,衣,其他,0,0
201708,09007000,衣,博士,0,0
201708,09007000,衣,碩士,0,0
201708,09007000,衣,大學,0,0
201708,09007000,衣,專科,0,0
201708,09007000,衣,高中高職,0,0
201708,09007000,衣,其他,0,0
201709,09007000,衣,博士,0,0
201709,09007000,衣,碩士,0,0
201709,09007000,衣,大學,0,0
201709,09007000,衣,專科,0,0
201709,09007000,衣,高中高職,0,0
201709,09007000,衣,其他,0,0
201710,09007000,衣,博士,0,0
201710,09007000,衣,碩士,0,0
201710,09007000,衣,大學,0,0
201710,09007000,衣,專科,0,0
201710,09007000,衣,高中高職,0,0
201710,09007000,衣,其他,0,0
201711,09007000,衣,博士,0,0
201711,09007000,衣,碩士,0,0
201711,09007000,衣,大學,0,0
201711,09007000,衣,專科,0,0
201711,09007000,衣,高中高職,0,0
